rank,city,state_id,census_2020,census_2010,change,state_name,latitude,longitude,costofliving,localpurchasingpower,groceries,rent,restaurant,f500_average_rank,f500_total_companies,f500_total_employees,f500_total_revenue,f500_total_profit,total_venues,total_superbowls
1,New York,NY,20140470,18897109,0.0658,New York,40.6943,-73.9249,100.0,100.0,100.0,100.0,100.0,45.0,217.0,2056979.0,1101563.0,125100.8,2.0,
2,Los Angeles,CA,13200998,12828837,0.028999999999999998,California,34.1139,-118.4068,79.77,101.94,75.58,76.74,91.39,5.0,239.0,200809.0,62007.0,250.5,7.0,2.0
3,Chicago,IL,9618502,9461105,0.0166,Illinois,41.8373,-87.6862,77.33,120.44,72.28,59.14,78.49,9.0,251.0,500596.0,223695.0,13237.2,9.0,
4,Dallas,TX,7637387,6366542,0.1996,Texas,32.7936,-96.7662,66.62,154.38,60.73,50.19,72.03,9.0,208.0,582434.0,291732.0,19832.2,4.0,
5,Houston,TX,7122240,5920416,0.203,Texas,29.7863,-95.3889,63.05,146.14,58.87,44.99,67.34,17.0,255.0,323651.0,302452.0,-9345.8,11.0,3.0
6,Washington,DC,6385162,5649540,0.1302,District of Columbia,38.9047,-77.0163,82.87,113.37,81.87,75.74,81.03,2.0,82.0,69000.0,127074.0,14866.7,8.0,
7,Philadelphia,PA,6245051,5965343,0.0469,Pennsylvania,40.0077,-75.1339,78.73,99.51,81.28,48.69,70.93,4.0,238.0,483242.0,109887.0,9488.1,8.0,
8,Miami,FL,6138333,5564635,0.1031,Florida,25.7839,-80.2102,78.39,82.17,76.43,64.82,80.22,3.0,252.0,47835.0,44753.0,1300.8,4.0,5.0
9,Atlanta,GA,6089815,5286728,0.1519,Georgia,33.7627,-84.4224,75.26,121.78,77.77,50.25,65.57,13.0,228.0,1112420.0,329005.0,30232.9,8.0,3.0
10,Boston,MA,4941632,4552402,0.0855,Massachusetts,42.3188,-71.0846,87.24,105.38,86.47,80.71,94.0,3.0,265.0,88290.0,54729.0,4105.4,6.0,
11,Phoenix,AZ,4845832,4192887,0.1557,Arizona,33.5722,-112.0891,69.27,112.93,65.35,42.88,72.56,3.0,194.0,80700.0,51396.0,-3034.9,4.0,
12,San Francisco,CA,4749008,4335391,0.0954,California,37.7562,-122.443,94.21,117.06,97.72,116.83,93.57,6.0,175.0,537300.0,335881.0,28333.6,4.0,
14,Detroit,MI,4392041,4296250,0.0223,Michigan,42.3834,-83.1024,68.57,102.08,65.19,40.02,67.95,3.0,189.0,242600.0,186845.0,11362.0,5.0,1.0
15,Seattle,WA,4018762,3439809,0.1683,Washington,47.6211,-122.3244,86.25,128.62,84.31,68.46,87.8,6.0,257.0,713412.0,191991.0,7814.5,6.0,
16,Minneapolis,MN,3690261,3346859,0.1026,Minnesota,44.9635,-93.2678,81.02,104.72,83.66,46.96,78.92,6.0,190.0,461144.0,140421.0,13347.6,5.0,2.0
17,San Diego,CA,3298634,3095313,0.0657,California,32.8312,-117.1225,74.5,108.41,71.94,70.05,78.71,2.0,200.0,47075.0,33737.0,7075.0,5.0,3.0
18,Tampa,FL,3175275,2783243,0.1409,Florida,27.9942,-82.4451,75.08,97.97,80.07,44.94,71.15,1.0,195.0,7400.0,14237.0,242.1,4.0,4.0
19,Denver,CO,2963821,2543482,0.1653,Colorado,39.7621,-104.8759,74.49,117.15,70.24,57.57,77.25,1.0,181.0,70300.0,15197.0,879.9,4.0,
22,Orlando,FL,2673376,2134411,0.2525,Florida,28.4772,-81.3369,66.84,117.15,65.65,42.71,65.7,1.0,385.0,150942.0,6934.0,375.0,6.0,
23,Charlotte,NC,2660329,2243960,0.1856,North Carolina,35.208,-80.8304,70.98,140.32,68.5,51.2,69.86,4.0,151.0,270522.0,142971.0,20947.5,6.0,
24,San Antonio,TX,2558143,2142508,0.19399999999999998,Texas,29.4658,-98.5253,62.42,130.46,56.85,38.83,69.22,5.0,198.0,77327.0,136637.0,4829.8,6.0,
27,Pittsburgh,PA,2370930,2356285,0.0062,Pennsylvania,40.4396,-79.9762,78.01,109.17,82.54,39.74,61.65,4.0,250.0,136483.0,49198.0,4441.6,5.0,
28,Austin,TX,2283371,1716289,0.3304,Texas,30.3004,-97.7522,65.28,139.52,64.92,57.37,70.62,2.0,202.0,115015.0,28118.0,-434.0,4.0,
29,Las Vegas,NV,2265461,1951269,0.161,Nevada,36.2333,-115.2654,67.65,104.4,59.47,38.19,72.69,2.0,273.0,115500.0,20865.0,2771.4,8.0,
30,Cincinnati,OH,2256884,2137667,0.0558,Ohio,39.1413,-84.5061,63.3,120.35,62.79,39.81,59.99,6.0,241.0,723922.0,231626.0,15556.2,5.0,
32,Columbus,OH,2138926,1901974,0.1246,Ohio,39.9862,-82.985,70.12,131.05,67.2,36.4,69.81,4.0,238.0,134204.0,74228.0,2256.1,5.0,
33,Indianapolis,IN,2111040,1887877,0.1182,Indiana,39.7771,-86.1458,64.86,124.88,63.32,32.05,68.34,3.0,213.0,99025.0,111520.0,7046.3,7.0,1.0
34,Cleveland,OH,2088251,2077240,0.0053,Ohio,41.4767,-81.6804,74.67,107.95,79.09,36.53,68.02,3.0,322.0,107200.0,28639.0,2730.5,4.0,
35,San Jose,CA,2000468,1836911,0.08900000000000001,California,37.3019,-121.8486,74.68,141.69,72.89,85.04,74.42,3.0,211.0,104400.0,69068.0,19406.0,4.0,
36,Nashville,TN,1989519,1646200,0.2086,Tennessee,36.1715,-86.7843,72.43,98.29,71.13,53.27,74.07,1.0,63.0,210500.0,44747.0,2890.0,8.0,
39,Jacksonville,FL,1605848,1345596,0.1934,Florida,30.3322,-81.6749,69.37,124.08,74.15,36.75,70.97,3.0,284.0,136847.0,29864.0,2932.0,3.0,1.0
40,Milwaukee,WI,1574731,1555908,0.0121,Wisconsin,43.0642,-87.9673,73.72,104.95,73.49,39.16,68.73,5.0,298.0,69720.0,67802.0,3622.6,3.0,
41,Oklahoma City,OK,1425695,1252987,0.1378,Oklahoma,35.4676,-97.5136,64.6,117.41,68.7,31.55,57.54,2.0,287.0,6845.0,20069.0,-7703.0,3.0,
43,Memphis,TN,1337779,1316100,0.0165,Tennessee,35.1046,-89.9773,61.78,98.93,57.22,34.16,67.01,3.0,154.0,457547.0,82080.0,3965.0,4.0,
44,Richmond,VA,1314434,1186501,0.1078,Virginia,37.5295,-77.4756,66.23,120.24,62.7,39.4,72.96,5.0,212.0,63329.0,71381.0,16776.7,3.0,
45,Louisville,KY,1285439,1202718,0.0688,Kentucky,38.1663,-85.6485,64.17,104.08,62.92,33.8,68.24,3.0,284.0,218250.0,67972.0,1568.8,5.0,
46,New Orleans,LA,1271845,1189866,0.0689,Louisiana,30.0687,-89.9288,72.13,92.46,66.41,42.12,75.88,1.0,263.0,13513.0,10846.0,-583.6,6.0,10.0
47,Salt Lake City,UT,1257936,1087873,0.1563,Utah,40.7777,-111.9306,63.9,149.79,60.05,39.55,65.64,1.0,289.0,15000.0,9657.0,326.0,4.0,
49,Buffalo,NY,1166902,1135509,0.0276,New York,42.9016,-78.8487,73.38,118.84,70.73,29.31,71.1,1.0,455.0,16487.0,5722.0,1315.1,3.0,
50,Birmingham,AL,1115289,1061024,0.0511,Alabama,33.5277,-86.7987,74.43,83.41,76.01,30.25,72.17,1.0,436.0,22166.0,5967.0,1163.0,4.0,
55,Tulsa,OK,1015331,937478,0.083,Oklahoma,36.1284,-95.9042,62.25,122.15,57.54,30.28,65.11,3.0,305.0,11188.0,28162.0,-270.9,4.0,
58,Omaha,NE,967604,865350,0.1182,Nebraska,41.2627,-96.0522,72.72,102.23,71.12,30.41,71.33,5.0,202.0,457251.0,274151.0,28382.6,3.0,
67,El Paso,TX,868859,804123,0.0805,Texas,31.8479,-106.4309,54.68,110.44,50.96,24.11,48.45,1.0,349.0,7134.0,7743.0,124.9,3.0,
76,Greensboro,NC,776566,723801,0.0729,North Carolina,36.0956,-79.8269,69.75,86.73,71.08,38.5,70.66,1.0,230.0,69000.0,12207.0,1074.1,3.0,
80,Little Rock,AR,748031,699757,0.069,Arkansas,34.7256,-92.3576,59.39,119.1,56.72,26.66,65.06,2.0,451.0,42670.0,11805.0,-214.3,2.0,
82,Des Moines,IA,709466,606475,0.1698,Iowa,41.5725,-93.6105,67.85,100.77,69.56,31.11,64.61,1.0,227.0,14854.0,12394.0,1316.5,2.0,
83,Akron,OH,702219,703200,-0.0014,Ohio,41.0798,-81.5219,61.11,96.72,62.16,23.67,53.81,2.0,190.0,81707.0,29314.0,-4913.0,3.0,
87,Madison,WI,680796,605435,0.1245,Wisconsin,43.0826,-89.3931,67.47,113.61,65.25,38.07,75.63,1.0,315.0,10471.0,8829.0,325.6,2.0,
92,Durham,NC,649903,564273,0.1518,North Carolina,35.9794,-78.9031,70.15,97.23,80.42,43.73,64.95,1.0,390.0,50000.0,6878.0,115.0,4.0,
93,Wichita,KS,647610,623061,0.0394,Kansas,37.6896,-97.3442,58.68,113.16,53.86,23.25,57.83,1.0,393.0,14400.0,6793.0,469.7,1.0,
94,Toledo,OH,646604,651429,-0.0074,Ohio,41.6639,-83.5822,65.27,82.75,64.96,23.67,65.04,1.0,458.0,16000.0,5677.0,393.0,3.0,
101,Chattanooga,TN,562647,528143,0.0653,Tennessee,35.0657,-85.2488,65.06,86.67,68.21,38.51,58.82,1.0,258.0,9400.0,11047.0,931.4,1.0,
